TMA_PA_Manggarai (cm),C.H. Bogor (mm),C.H. Depok (mm),C.H. Manggarai (mm)
600,0,0,0
600,0,0.4,0
590,0,0.6,0
590,0.3,0.2,0
590,0,0.3,0
585,0.3,0.4,0
585,0,0.4,0
590,0,0.1,0
585,0,0.9,0
585,0,0,0
585,0,0,0
585,0,0,0
580,0,0,0
580,0.1,0.5,0.1
580,0.2,1.3,0
580,0.1,0.9,0
580,0.1,0.4,0
580,0,0.3,0
670,0,0.3,0
700,0,0.1,0
665,0,0,0
635,0,0,0
635,0,0,0
660,0,0,0
690,0,0,0
720,0,0,0
740,0,0,0
760,0,0.2,0
780,0,0.4,0
795,0,0.3,0
790,0,0.1,0
775,0,0,0
755,0,0,0
735,0,0,0
715,0,0,0
715,0,0.1,0
700,0.5,0.6,0.5
675,1.1,7.3,0.1
665,4.3,5.3,0.8
650,2.8,5.4,0.1
640,1.9,2.6,0
635,0.5,2.2,0
630,0.4,3,0
625,0.3,2.9,0.1
620,0.1,2.8,0
620,0,1.9,0.1
630,0,0.6,0.1
645,0,0.4,0.2
665,5.7,3.7,0.8
670,3.9,2.8,0.7
670,2.1,1.4,0.4
670,1,0.2,0.1
675,0.4,0,0
680,0.1,0,0
685,0,0,0.1
685,0,0,0.2
680,0.1,0.1,0.2
670,0.1,0.1,0.2
660,0.4,0.2,0.3
660,4.2,1.4,1.6
650,0.9,0.5,3.5
640,9.8,1,7
635,6,1.8,4.8
625,2.2,0.3,3.4
625,0.9,0.1,1.2
625,0.6,0.1,0.9
620,0.3,0.1,0.9
620,0.2,0,0.9
630,0.1,0,0.3
630,0,0,0.2
640,0.1,0,0.4
655,0.1,0,0.9
655,0.2,0.2,0.3
655,0.3,0.3,0.4
655,0.4,0.5,0.4
650,0.4,0.4,0.4
640,0.5,0.5,0.4
635,0.3,0.6,0.3
630,0.3,0.6,0.1
630,0.3,0.7,0.2
650,1.4,0.4,0.4
675,0.1,0.2,0.1
655,0.2,0.1,0.1
640,0.3,0.2,0.2
635,1.1,1.4,1.1
630,0.8,1,1
620,0.6,0.8,0.9
620,0.7,0.1,0.8
620,0.3,0.2,0.5
620,0.3,0.1,0.3
620,0.1,0.1,0.3
620,0.2,0,0.4
615,0.3,0.1,0.4
615,0.4,0.1,0.4
615,0.4,0,0.3
615,0.4,0.1,0.2
610,0,0,0
610,0,0,0
610,0,0,0
610,0,0,0
610,0,0,0
610,0,0,0.2
610,0,0,0.3
610,0.1,0,0.2
605,0.1,0,0.2
605,0.1,0.1,0.1
605,0.2,0.1,0.1
605,0.2,0.1,0.1
605,0.9,1.7,0.1
605,1.8,0.3,0.1
605,4.6,3.8,2.1
605,2.2,1.3,1.7
605,0.5,0.5,0.4
605,0.4,0.2,0.7
605,0.3,0,0.6
605,0.1,0,0.3
610,0,0,0.1
620,0,0.1,0
625,0,0.3,0.1
630,0,0.3,0.1
635,0.3,0,0.1
635,0.1,0.1,0.1
630,0.1,0,0.1
625,0.1,0,0.1
620,0,0,0
620,0,0,0
610,0,0,0
610,0,0,0
610,0,0.3,0
610,0,0.2,0
605,0.1,0.1,0
605,0.1,0.1,0.1
605,4.4,0.3,4.5
605,2.3,1.9,1
605,0.5,1.3,0.7
605,1.1,1.9,0.9
610,0.4,0.2,0.6
610,0.2,0.2,0.5
